DATE,TIME,STATE
8/30/22,19:31:51,DOOR-CLOSED
8/30/22,19:35:13,DOOR-OPEN
8/30/22,19:35:28,DOOR-CLOSED
8/31/22,11:23:11,DOOR-OPEN
8/31/22,11:23:19,DOOR-CLOSED
8/31/22,18:46:08,DOOR-OPEN
8/31/22,18:46:10,DOOR-CLOSED
8/31/22,21:49:35,DOOR-OPEN
8/31/22,21:50:05,DOOR-CLOSED
9/1/22,15:22:28,DOOR-OPEN
9/1/22,15:22:31,DOOR-CLOSED
9/2/22,12:26:16,DOOR-OPEN
9/2/22,12:26:18,DOOR-CLOSED
9/3/22,17:00:49,DOOR-OPEN
9/3/22,17:00:57,DOOR-CLOSED
9/3/22,17:01:24,DOOR-OPEN
9/3/22,17:01:26,DOOR-CLOSED
9/3/22,18:50:36,DOOR-OPEN
9/3/22,18:50:51,DOOR-CLOSED
9/3/22,19:56:20,DOOR-OPEN
9/3/22,19:56:22,DOOR-CLOSED
9/4/22,13:31:41,DOOR-OPEN
9/4/22,13:32:11,DOOR-CLOSED
9/5/22,19:23:53,DOOR-OPEN
9/5/22,19:23:55,DOOR-CLOSED
9/5/22,22:41:13,DOOR-OPEN
9/5/22,22:41:16,DOOR-CLOSED
9/6/22,17:48:43,DOOR-OPEN
9/6/22,17:48:46,DOOR-CLOSED
9/6/22,17:49:13,DOOR-OPEN
9/6/22,17:49:19,DOOR-CLOSED
9/7/22,17:09:01,DOOR-OPEN
9/7/22,17:09:10,DOOR-CLOSED
9/8/22,12:25:28,DOOR-OPEN
9/8/22,12:25:34,DOOR-CLOSED
9/8/22,12:25:36,DOOR-OPEN
9/8/22,12:25:47,DOOR-CLOSED
9/8/22,13:15:51,DOOR-OPEN
9/8/22,13:15:56,DOOR-CLOSED
9/9/22,10:18:48,DOOR-OPEN
9/9/22,10:18:51,DOOR-CLOSED
9/9/22,16:54:09,DOOR-OPEN
9/9/22,16:54:17,DOOR-CLOSED
9/10/22,11:47:58,DOOR-OPEN
9/10/22,11:48:00,DOOR-CLOSED
9/10/22,11:48:16,DOOR-OPEN
9/12/22,12:58:43,DOOR-CLOSED
9/12/22,13:00:25,DOOR-CLOSED
9/12/22,13:00:30,DOOR-OPEN
9/12/22,14:02:37,DOOR-CLOSED
9/12/22,19:30:29,DOOR-OPEN
9/12/22,19:30:36,DOOR-CLOSED
9/12/22,20:43:23,DOOR-OPEN
9/12/22,20:43:50,DOOR-CLOSED
9/13/22,18:57:25,DOOR-OPEN
9/13/22,18:57:38,DOOR-CLOSED
9/13/22,22:47:12,DOOR-OPEN
9/13/22,22:47:15,DOOR-CLOSED
9/14/22,13:45:13,DOOR-OPEN
9/14/22,13:45:29,DOOR-CLOSED
9/14/22,15:43:02,DOOR-OPEN
9/14/22,15:43:41,DOOR-CLOSED
9/14/22,16:00:25,DOOR-OPEN
9/14/22,16:00:33,DOOR-CLOSED
9/14/22,18:53:19,DOOR-OPEN
9/14/22,18:53:51,DOOR-CLOSED
9/14/22,19:38:00,DOOR-OPEN
9/14/22,19:38:05,DOOR-CLOSED
9/14/22,19:38:44,DOOR-OPEN
9/14/22,19:57:00,DOOR-CLOSED
9/15/22,16:06:42,DOOR-OPEN
9/15/22,16:06:44,DOOR-CLOSED
9/16/22,12:38:17,DOOR-OPEN
9/16/22,12:38:21,DOOR-CLOSED
9/16/22,17:21:37,DOOR-OPEN
9/16/22,17:24:44,DOOR-CLOSED
9/17/22,12:03:56,DOOR-OPEN
9/17/22,12:04:03,DOOR-CLOSED
9/17/22,19:49:52,DOOR-OPEN
9/17/22,19:50:29,DOOR-CLOSED
9/18/22,13:21:53,DOOR-OPEN
9/18/22,13:21:57,DOOR-CLOSED
9/19/22,15:35:25,DOOR-OPEN
9/19/22,15:35:34,DOOR-CLOSED
9/19/22,17:38:17,DOOR-OPEN
9/19/22,17:38:20,DOOR-CLOSED
9/19/22,20:27:26,DOOR-OPEN
9/19/22,20:27:47,DOOR-CLOSED
9/20/22,12:08:49,DOOR-OPEN
9/20/22,12:08:52,DOOR-CLOSED
9/20/22,16:45:14,DOOR-OPEN
9/20/22,16:45:17,DOOR-CLOSED
9/20/22,17:04:06,DOOR-OPEN
9/20/22,17:04:22,DOOR-CLOSED
9/21/22,13:03:56,DOOR-OPEN
9/21/22,13:04:01,DOOR-CLOSED
9/21/22,13:08:58,DOOR-OPEN
9/21/22,13:11:50,DOOR-CLOSED
9/21/22,13:11:52,DOOR-OPEN
9/21/22,13:11:56,DOOR-CLOSED
9/21/22,16:01:36,DOOR-OPEN
9/21/22,16:01:55,DOOR-CLOSED
9/21/22,20:05:42,DOOR-OPEN
9/21/22,20:06:12,DOOR-CLOSED
9/22/22,13:13:14,DOOR-OPEN
9/22/22,13:13:36,DOOR-CLOSED
9/22/22,13:36:15,DOOR-OPEN
9/22/22,13:36:20,DOOR-CLOSED
9/22/22,13:40:13,DOOR-OPEN
9/22/22,13:40:22,DOOR-CLOSED
9/22/22,14:06:43,DOOR-OPEN
9/22/22,14:07:08,DOOR-CLOSED
9/23/22,11:40:01,DOOR-OPEN
9/23/22,11:40:05,DOOR-CLOSED
9/23/22,14:28:56,DOOR-OPEN
9/23/22,14:31:32,DOOR-CLOSED
9/24/22,12:11:38,DOOR-OPEN
9/24/22,12:11:40,DOOR-CLOSED
9/24/22,13:02:32,DOOR-OPEN
9/24/22,13:02:54,DOOR-CLOSED
9/24/22,13:05:14,DOOR-OPEN
9/24/22,13:05:23,DOOR-CLOSED
9/24/22,21:31:06,DOOR-OPEN
9/24/22,21:31:24,DOOR-CLOSED
9/26/22,12:31:17,DOOR-OPEN
9/26/22,12:31:23,DOOR-CLOSED
9/26/22,14:50:50,DOOR-OPEN
9/26/22,14:50:53,DOOR-CLOSED
9/26/22,16:41:37,DOOR-OPEN
9/26/22,16:41:52,DOOR-CLOSED
9/26/22,16:58:49,DOOR-OPEN
9/26/22,16:58:52,DOOR-CLOSED
9/27/22,12:17:15,DOOR-OPEN
9/27/22,12:17:18,DOOR-CLOSED
9/27/22,12:18:18,DOOR-OPEN
9/27/22,12:18:23,DOOR-CLOSED
9/27/22,14:25:28,DOOR-OPEN
9/27/22,14:25:36,DOOR-CLOSED
9/28/22,9:29:36,DOOR-OPEN
9/28/22,9:29:39,DOOR-CLOSED
9/28/22,18:02:25,DOOR-OPEN
9/28/22,18:07:19,DOOR-CLOSED
9/29/22,15:11:27,DOOR-OPEN
9/29/22,15:11:31,DOOR-CLOSED
9/29/22,15:42:35,DOOR-OPEN
9/29/22,15:42:51,DOOR-CLOSED
9/29/22,15:47:52,DOOR-OPEN
9/29/22,15:48:00,DOOR-CLOSED
9/29/22,15:50:26,DOOR-OPEN
9/29/22,15:50:42,DOOR-CLOSED
9/29/22,17:17:57,DOOR-OPEN
9/29/22,17:18:02,DOOR-CLOSED
9/29/22,21:14:16,DOOR-OPEN
9/29/22,21:14:19,DOOR-CLOSED
9/30/22,15:34:05,DOOR-OPEN
9/30/22,15:35:33,DOOR-CLOSED
9/30/22,23:07:17,DOOR-OPEN
9/30/22,23:07:23,DOOR-CLOSED
10/1/22,15:25:35,DOOR-OPEN
10/1/22,15:25:38,DOOR-CLOSED
10/2/22,13:44:00,DOOR-OPEN
10/2/22,13:44:05,DOOR-CLOSED
10/2/22,13:45:22,DOOR-OPEN
10/2/22,13:45:36,DOOR-CLOSED
10/2/22,18:05:49,DOOR-OPEN
10/2/22,18:05:55,DOOR-CLOSED
10/2/22,18:22:45,DOOR-OPEN
10/2/22,18:22:56,DOOR-CLOSED
10/3/22,12:11:30,DOOR-OPEN
10/3/22,12:12:01,DOOR-CLOSED
10/3/22,20:12:28,DOOR-OPEN
10/3/22,20:13:54,DOOR-CLOSED
10/3/22,20:38:50,DOOR-OPEN
10/3/22,20:39:32,DOOR-CLOSED
10/4/22,9:18:12,DOOR-OPEN
10/4/22,9:18:20,DOOR-CLOSED
10/4/22,9:20:01,DOOR-OPEN
10/4/22,9:20:03,DOOR-CLOSED
10/4/22,11:01:42,DOOR-OPEN
10/4/22,11:02:07,DOOR-CLOSED
10/4/22,15:13:08,DOOR-OPEN
10/4/22,15:13:17,DOOR-CLOSED
10/4/22,15:24:47,DOOR-OPEN
10/4/22,15:25:14,DOOR-CLOSED
10/4/22,16:46:39,DOOR-OPEN
10/4/22,16:46:42,DOOR-CLOSED
10/5/22,17:23:41,DOOR-OPEN
10/5/22,17:23:47,DOOR-CLOSED
10/5/22,22:19:16,DOOR-OPEN
10/5/22,22:19:23,DOOR-CLOSED
10/6/22,13:21:15,DOOR-OPEN
10/6/22,13:21:20,DOOR-CLOSED
10/6/22,13:44:33,DOOR-OPEN
10/6/22,13:44:39,DOOR-CLOSED
10/6/22,13:45:03,DOOR-OPEN
10/6/22,13:45:42,DOOR-CLOSED
10/6/22,13:45:46,DOOR-OPEN
10/6/22,13:45:51,DOOR-CLOSED
10/6/22,13:46:09,DOOR-OPEN
10/6/22,13:46:32,DOOR-CLOSED
10/6/22,13:46:46,DOOR-OPEN
10/6/22,13:46:55,DOOR-CLOSED
10/6/22,13:47:06,DOOR-OPEN
10/6/22,13:47:14,DOOR-CLOSED
10/6/22,13:47:23,DOOR-OPEN
10/6/22,13:47:43,DOOR-CLOSED
10/6/22,13:48:44,DOOR-OPEN
10/6/22,13:49:38,DOOR-CLOSED
10/6/22,13:49:54,DOOR-OPEN
10/6/22,13:50:35,DOOR-CLOSED
10/6/22,13:50:52,DOOR-OPEN
10/6/22,13:53:47,DOOR-CLOSED
10/6/22,13:54:05,DOOR-OPEN
10/6/22,13:54:15,DOOR-CLOSED
10/6/22,15:41:25,DOOR-OPEN
10/6/22,15:41:33,DOOR-CLOSED
10/6/22,15:42:23,DOOR-OPEN
10/6/22,15:42:30,DOOR-CLOSED
10/6/22,15:42:40,DOOR-OPEN
10/6/22,15:44:26,DOOR-CLOSED
10/6/22,15:44:40,DOOR-OPEN
10/6/22,15:44:44,DOOR-CLOSED
10/6/22,15:45:13,DOOR-OPEN
10/6/22,15:45:35,DOOR-CLOSED
10/6/22,15:45:51,DOOR-OPEN
10/6/22,15:46:06,DOOR-CLOSED
10/6/22,17:26:54,DOOR-OPEN
10/6/22,17:26:59,DOOR-CLOSED
10/6/22,17:51:25,DOOR-OPEN
10/6/22,17:52:05,DOOR-CLOSED
10/6/22,20:08:56,DOOR-OPEN
10/6/22,20:09:00,DOOR-CLOSED
10/7/22,11:04:31,DOOR-OPEN
10/7/22,11:08:12,DOOR-CLOSED
10/7/22,11:08:37,DOOR-OPEN
10/7/22,11:08:49,DOOR-CLOSED
10/7/22,13:02:28,DOOR-OPEN
10/7/22,13:02:46,DOOR-CLOSED
10/7/22,13:44:25,DOOR-OPEN
10/7/22,13:44:32,DOOR-CLOSED
10/7/22,14:27:46,DOOR-OPEN
10/7/22,14:27:57,DOOR-CLOSED
10/7/22,14:47:32,DOOR-OPEN
10/7/22,14:47:36,DOOR-CLOSED
