DATE,TIME,STATE
9/12/22,13:06:19,DOOR-CLOSED
9/12/22,13:06:23,DOOR-OPEN
9/12/22,14:13:29,DOOR-CLOSED
9/12/22,15:42:29,DOOR-OPEN
9/12/22,15:42:58,DOOR-CLOSED
9/12/22,16:26:01,DOOR-OPEN
9/12/22,16:26:38,DOOR-CLOSED
9/12/22,16:51:25,DOOR-OPEN
9/12/22,16:51:29,DOOR-CLOSED
9/12/22,17:49:18,DOOR-OPEN
9/12/22,17:49:22,DOOR-CLOSED
9/12/22,18:06:39,DOOR-OPEN
9/12/22,18:06:47,DOOR-CLOSED
9/12/22,22:19:23,DOOR-OPEN
9/12/22,22:19:28,DOOR-CLOSED
9/12/22,22:19:30,DOOR-OPEN
9/12/22,22:19:33,DOOR-CLOSED
9/13/22,9:34:57,DOOR-OPEN
9/13/22,9:35:01,DOOR-CLOSED
9/14/22,13:19:54,DOOR-OPEN
9/14/22,13:19:58,DOOR-CLOSED
9/14/22,17:07:07,DOOR-OPEN
9/14/22,17:07:54,DOOR-CLOSED
9/14/22,17:10:06,DOOR-OPEN
9/14/22,17:10:13,DOOR-CLOSED
9/14/22,18:37:44,DOOR-OPEN
9/14/22,18:37:57,DOOR-CLOSED
9/14/22,20:05:00,DOOR-OPEN
9/14/22,20:05:09,DOOR-CLOSED
9/14/22,21:53:11,DOOR-OPEN
9/14/22,21:53:15,DOOR-CLOSED
9/14/22,21:54:19,DOOR-OPEN
9/14/22,21:54:24,DOOR-CLOSED
9/15/22,8:37:58,DOOR-OPEN
9/15/22,8:38:05,DOOR-CLOSED
9/15/22,12:16:22,DOOR-OPEN
9/15/22,12:16:26,DOOR-CLOSED
9/15/22,13:22:22,DOOR-OPEN
9/15/22,13:22:31,DOOR-CLOSED
9/15/22,13:22:41,DOOR-OPEN
9/15/22,13:22:50,DOOR-CLOSED
9/15/22,14:17:27,DOOR-OPEN
9/15/22,14:17:31,DOOR-CLOSED
9/15/22,14:54:41,DOOR-OPEN
9/15/22,14:54:48,DOOR-CLOSED
9/15/22,15:49:57,DOOR-OPEN
9/15/22,15:50:01,DOOR-CLOSED
9/15/22,18:46:50,DOOR-OPEN
9/15/22,18:46:54,DOOR-CLOSED
9/15/22,19:02:42,DOOR-OPEN
9/15/22,19:02:46,DOOR-CLOSED
9/15/22,21:46:42,DOOR-OPEN
9/15/22,21:46:46,DOOR-CLOSED
9/16/22,11:03:41,DOOR-OPEN
9/16/22,11:03:45,DOOR-CLOSED
9/16/22,13:18:29,DOOR-OPEN
9/16/22,13:18:33,DOOR-CLOSED
9/16/22,16:35:48,DOOR-OPEN
9/16/22,16:36:11,DOOR-CLOSED
9/16/22,21:37:05,DOOR-OPEN
9/16/22,21:37:09,DOOR-CLOSED
9/17/22,11:35:18,DOOR-OPEN
9/17/22,11:35:22,DOOR-CLOSED
9/17/22,14:16:06,DOOR-OPEN
9/17/22,14:16:13,DOOR-CLOSED
9/17/22,17:10:01,DOOR-OPEN
9/17/22,17:10:05,DOOR-CLOSED
9/17/22,17:41:31,DOOR-OPEN
9/17/22,17:41:36,DOOR-CLOSED
9/17/22,19:41:31,DOOR-OPEN
9/17/22,19:41:49,DOOR-CLOSED
9/18/22,10:17:04,DOOR-OPEN
9/18/22,10:17:17,DOOR-CLOSED
9/18/22,11:09:44,DOOR-OPEN
9/18/22,11:09:53,DOOR-CLOSED
9/18/22,13:37:29,DOOR-OPEN
9/18/22,13:37:33,DOOR-CLOSED
9/18/22,14:30:43,DOOR-OPEN
9/18/22,14:30:51,DOOR-CLOSED
9/18/22,17:25:34,DOOR-OPEN
9/18/22,17:25:36,DOOR-CLOSED
9/18/22,19:32:50,DOOR-OPEN
9/18/22,19:32:54,DOOR-CLOSED
9/18/22,20:59:55,DOOR-OPEN
9/18/22,21:00:06,DOOR-CLOSED
9/18/22,21:00:13,DOOR-OPEN
9/18/22,21:00:19,DOOR-CLOSED
9/18/22,21:01:54,DOOR-OPEN
9/18/22,21:02:00,DOOR-CLOSED
9/18/22,21:02:06,DOOR-OPEN
9/18/22,21:02:12,DOOR-CLOSED
9/18/22,21:14:05,DOOR-OPEN
9/18/22,21:14:12,DOOR-CLOSED
9/18/22,21:14:17,DOOR-OPEN
9/18/22,21:14:20,DOOR-CLOSED
9/19/22,11:06:35,DOOR-OPEN
9/19/22,11:06:39,DOOR-CLOSED
9/19/22,11:39:33,DOOR-OPEN
9/19/22,11:39:36,DOOR-CLOSED
9/19/22,12:07:55,DOOR-OPEN
9/19/22,12:08:02,DOOR-CLOSED
9/19/22,13:19:36,DOOR-OPEN
9/19/22,13:19:40,DOOR-CLOSED
9/19/22,15:39:35,DOOR-OPEN
9/19/22,15:39:38,DOOR-CLOSED
9/19/22,17:37:03,DOOR-OPEN
9/19/22,17:37:06,DOOR-CLOSED
