DATE,TIME,STATE
9/12/22,13:58:42,DOOR-CLOSED
9/13/22,15:41:39,DOOR-OPEN
9/13/22,15:41:53,DOOR-CLOSED
9/14/22,13:18:46,DOOR-OPEN
9/14/22,13:18:49,DOOR-CLOSED
9/14/22,17:46:15,DOOR-OPEN
9/14/22,17:46:24,DOOR-CLOSED
9/15/22,18:56:17,DOOR-OPEN
9/15/22,18:56:25,DOOR-CLOSED
9/15/22,22:41:25,DOOR-OPEN
9/15/22,22:41:30,DOOR-CLOSED
9/16/22,17:12:11,DOOR-OPEN
9/16/22,17:14:27,DOOR-CLOSED
9/19/22,20:28:28,DOOR-OPEN
9/19/22,20:28:33,DOOR-CLOSED
9/20/22,17:36:48,DOOR-OPEN
9/20/22,17:37:00,DOOR-CLOSED
9/20/22,17:37:40,DOOR-OPEN
9/20/22,17:37:44,DOOR-CLOSED
9/21/22,5:04:17,DOOR-OPEN
9/21/22,5:04:23,DOOR-CLOSED
9/21/22,13:14:41,DOOR-OPEN
9/21/22,13:16:13,DOOR-CLOSED
9/21/22,13:16:21,DOOR-OPEN
9/21/22,13:17:57,DOOR-CLOSED
9/21/22,13:18:12,DOOR-OPEN
9/21/22,13:19:40,DOOR-CLOSED
9/22/22,20:06:38,DOOR-OPEN
9/22/22,20:06:50,DOOR-CLOSED
9/23/22,14:46:25,DOOR-OPEN
9/23/22,14:48:35,DOOR-CLOSED
9/25/22,8:12:29,DOOR-OPEN
9/25/22,8:12:42,DOOR-CLOSED
9/25/22,14:43:29,DOOR-OPEN
9/25/22,14:43:33,DOOR-CLOSED
9/26/22,9:08:31,DOOR-OPEN
9/26/22,9:08:41,DOOR-CLOSED
9/26/22,9:09:31,DOOR-OPEN
9/26/22,9:09:44,DOOR-CLOSED
9/26/22,11:25:10,DOOR-OPEN
9/26/22,11:25:21,DOOR-CLOSED
9/26/22,11:55:50,DOOR-OPEN
9/26/22,11:55:53,DOOR-CLOSED
9/26/22,20:53:12,DOOR-OPEN
9/26/22,20:53:39,DOOR-CLOSED
9/27/22,6:26:44,DOOR-OPEN
9/27/22,6:26:48,DOOR-CLOSED
9/27/22,13:34:48,DOOR-OPEN
9/27/22,13:35:51,DOOR-CLOSED
9/27/22,13:39:56,DOOR-OPEN
9/27/22,13:40:06,DOOR-CLOSED
9/27/22,17:47:06,DOOR-OPEN
9/27/22,17:47:14,DOOR-CLOSED
9/27/22,17:47:17,DOOR-OPEN
9/27/22,17:47:20,DOOR-CLOSED
9/27/22,20:17:27,DOOR-OPEN
9/27/22,20:18:03,DOOR-CLOSED
9/28/22,14:22:21,DOOR-OPEN
9/28/22,14:22:24,DOOR-CLOSED
9/28/22,14:23:07,DOOR-OPEN
9/28/22,14:23:12,DOOR-CLOSED
9/28/22,17:41:40,DOOR-OPEN
9/28/22,17:41:52,DOOR-CLOSED
9/28/22,17:42:13,DOOR-OPEN
9/28/22,17:45:25,DOOR-CLOSED
9/28/22,17:46:54,DOOR-OPEN
9/28/22,17:48:01,DOOR-CLOSED
9/28/22,19:34:31,DOOR-OPEN
9/28/22,19:34:39,DOOR-CLOSED
9/29/22,11:50:11,DOOR-OPEN
9/29/22,11:50:32,DOOR-CLOSED
9/29/22,15:48:53,DOOR-OPEN
9/29/22,15:49:10,DOOR-CLOSED
9/29/22,21:12:50,DOOR-OPEN
9/29/22,21:13:09,DOOR-CLOSED
9/29/22,21:13:12,DOOR-OPEN
9/29/22,21:13:15,DOOR-CLOSED
9/30/22,11:43:02,DOOR-OPEN
9/30/22,11:45:29,DOOR-CLOSED
9/30/22,14:29:19,DOOR-OPEN
9/30/22,14:29:35,DOOR-CLOSED
10/2/22,16:03:11,DOOR-OPEN
10/2/22,16:04:17,DOOR-CLOSED
10/3/22,3:09:51,DOOR-OPEN
10/3/22,3:09:55,DOOR-CLOSED
10/3/22,9:08:46,DOOR-OPEN
10/3/22,9:08:57,DOOR-CLOSED
10/3/22,9:09:00,DOOR-OPEN
10/3/22,15:22:11,DOOR-OPEN
10/3/22,15:22:51,DOOR-CLOSED
10/4/22,1:50:53,DOOR-OPEN
10/4/22,1:51:01,DOOR-CLOSED
10/4/22,13:57:13,DOOR-OPEN
10/4/22,13:57:16,DOOR-CLOSED
10/4/22,13:57:19,DOOR-OPEN
10/4/22,13:57:22,DOOR-CLOSED
10/4/22,14:06:55,DOOR-OPEN
10/4/22,14:07:05,DOOR-CLOSED
10/4/22,17:41:03,DOOR-OPEN
10/4/22,17:41:07,DOOR-CLOSED
10/4/22,19:03:58,DOOR-OPEN
10/4/22,19:04:15,DOOR-CLOSED
10/4/22,21:05:44,DOOR-OPEN
10/4/22,21:05:47,DOOR-CLOSED
10/5/22,7:52:58,DOOR-OPEN
10/5/22,7:53:11,DOOR-CLOSED
10/5/22,17:02:11,DOOR-OPEN
10/5/22,17:02:23,DOOR-CLOSED
10/5/22,17:26:51,DOOR-OPEN
10/5/22,17:26:58,DOOR-CLOSED
10/6/22,15:47:55,DOOR-OPEN
10/6/22,15:48:45,DOOR-CLOSED
10/6/22,15:49:28,DOOR-OPEN
10/6/22,15:51:06,DOOR-CLOSED
10/6/22,15:52:11,DOOR-OPEN
10/6/22,15:52:45,DOOR-CLOSED
10/6/22,17:45:44,DOOR-OPEN
10/6/22,17:45:47,DOOR-CLOSED
10/7/22,10:44:40,DOOR-OPEN
10/7/22,10:48:15,DOOR-CLOSED
10/7/22,18:24:59,DOOR-OPEN
10/7/22,18:25:03,DOOR-CLOSED
10/7/22,19:17:10,DOOR-OPEN
10/7/22,19:17:32,DOOR-CLOSED
10/7/22,19:54:07,DOOR-OPEN
10/7/22,19:54:30,DOOR-CLOSED
10/8/22,11:34:14,DOOR-OPEN
10/8/22,11:34:20,DOOR-CLOSED
10/8/22,14:25:05,DOOR-OPEN
10/8/22,14:25:09,DOOR-CLOSED
10/8/22,15:15:26,DOOR-OPEN
10/8/22,15:15:30,DOOR-CLOSED
10/9/22,17:35:08,DOOR-OPEN
10/9/22,17:35:50,DOOR-CLOSED
10/10/22,0:21:05,DOOR-OPEN
10/10/22,0:21:16,DOOR-CLOSED
10/10/22,13:48:16,DOOR-OPEN
10/10/22,13:48:19,DOOR-CLOSED
10/10/22,14:00:11,DOOR-OPEN
10/10/22,14:00:20,DOOR-CLOSED
10/10/22,15:49:43,DOOR-OPEN
10/10/22,15:49:54,DOOR-CLOSED
10/10/22,16:07:13,DOOR-OPEN
10/10/22,16:07:17,DOOR-CLOSED
10/11/22,11:45:58,DOOR-OPEN
10/11/22,11:46:27,DOOR-CLOSED
10/11/22,14:29:54,DOOR-OPEN
10/11/22,14:29:58,DOOR-CLOSED
10/11/22,15:35:51,DOOR-OPEN
10/11/22,15:35:54,DOOR-CLOSED
10/11/22,16:32:25,DOOR-OPEN
10/11/22,16:32:29,DOOR-CLOSED
10/11/22,19:04:43,DOOR-OPEN
10/11/22,19:04:54,DOOR-CLOSED
10/11/22,20:35:39,DOOR-OPEN
10/11/22,20:36:01,DOOR-CLOSED
10/12/22,12:45:07,DOOR-OPEN
10/12/22,12:45:24,DOOR-CLOSED
10/12/22,18:20:21,DOOR-OPEN
10/12/22,18:20:24,DOOR-CLOSED
10/12/22,18:20:42,DOOR-OPEN
10/12/22,18:25:23,DOOR-CLOSED
10/12/22,18:25:28,DOOR-OPEN
10/12/22,18:25:31,DOOR-CLOSED
10/12/22,18:25:36,DOOR-OPEN
10/12/22,18:26:35,DOOR-CLOSED
10/13/22,8:42:11,DOOR-OPEN
10/13/22,8:42:27,DOOR-CLOSED
10/13/22,10:40:05,DOOR-OPEN
10/13/22,10:40:08,DOOR-CLOSED
10/13/22,11:58:44,DOOR-OPEN
10/13/22,11:58:58,DOOR-CLOSED
10/13/22,12:22:37,DOOR-OPEN
10/13/22,12:22:56,DOOR-CLOSED
10/13/22,13:23:47,DOOR-OPEN
10/13/22,13:23:54,DOOR-CLOSED
10/13/22,14:20:59,DOOR-OPEN
10/13/22,14:21:03,DOOR-CLOSED
10/14/22,2:01:26,DOOR-OPEN
10/14/22,2:01:34,DOOR-CLOSED
10/14/22,11:37:27,DOOR-OPEN
10/14/22,11:40:09,DOOR-CLOSED
10/14/22,21:34:12,DOOR-OPEN
10/14/22,21:34:16,DOOR-CLOSED
10/15/22,1:53:22,DOOR-OPEN
10/15/22,1:53:30,DOOR-CLOSED
10/17/22,11:58:22,DOOR-OPEN
10/17/22,11:58:25,DOOR-CLOSED
10/17/22,18:31:04,DOOR-OPEN
10/17/22,18:31:08,DOOR-CLOSED
10/18/22,7:52:10,DOOR-OPEN
10/18/22,7:52:13,DOOR-CLOSED
10/18/22,11:34:11,DOOR-OPEN
10/18/22,11:34:14,DOOR-CLOSED
10/18/22,15:10:32,DOOR-OPEN
10/18/22,15:10:36,DOOR-CLOSED
10/19/22,6:31:40,DOOR-OPEN
10/19/22,6:31:43,DOOR-CLOSED
10/19/22,9:02:07,DOOR-OPEN
10/19/22,9:02:27,DOOR-CLOSED
10/19/22,12:55:21,DOOR-OPEN
10/19/22,12:55:24,DOOR-CLOSED
10/19/22,15:06:52,DOOR-OPEN
10/19/22,15:06:59,DOOR-CLOSED
10/19/22,23:40:28,DOOR-OPEN
10/19/22,23:40:30,DOOR-CLOSED
10/20/22,12:27:28,DOOR-OPEN
10/20/22,12:27:39,DOOR-CLOSED
10/20/22,18:10:09,DOOR-OPEN
10/20/22,18:10:24,DOOR-CLOSED
10/20/22,21:57:48,DOOR-OPEN
10/20/22,21:57:57,DOOR-CLOSED
10/21/22,12:24:14,DOOR-OPEN
10/21/22,12:24:17,DOOR-CLOSED
10/21/22,17:54:04,DOOR-OPEN
10/21/22,17:54:26,DOOR-CLOSED
10/21/22,18:04:38,DOOR-OPEN
10/21/22,18:04:42,DOOR-CLOSED
10/23/22,0:37:40,DOOR-OPEN
10/23/22,0:37:53,DOOR-CLOSED
10/24/22,8:26:12,DOOR-OPEN
10/24/22,8:26:15,DOOR-CLOSED
10/24/22,8:26:19,DOOR-OPEN
10/24/22,8:26:22,DOOR-CLOSED
10/24/22,10:40:11,DOOR-OPEN
10/24/22,10:40:15,DOOR-CLOSED
10/24/22,14:01:20,DOOR-OPEN
10/24/22,14:01:23,DOOR-CLOSED
10/24/22,15:45:34,DOOR-OPEN
10/24/22,15:45:46,DOOR-CLOSED
10/24/22,22:43:07,DOOR-OPEN
10/24/22,22:43:10,DOOR-CLOSED
10/25/22,2:02:45,DOOR-OPEN
10/25/22,2:02:51,DOOR-CLOSED
10/25/22,14:54:43,DOOR-OPEN
10/25/22,14:54:46,DOOR-CLOSED
10/25/22,19:02:17,DOOR-OPEN
10/25/22,19:02:51,DOOR-CLOSED
10/26/22,15:48:41,DOOR-OPEN
10/26/22,15:48:44,DOOR-CLOSED
10/26/22,15:48:47,DOOR-OPEN
10/26/22,15:48:52,DOOR-CLOSED
10/26/22,17:39:40,DOOR-OPEN
10/26/22,17:39:48,DOOR-CLOSED
10/27/22,13:24:06,DOOR-OPEN
10/27/22,13:27:22,DOOR-CLOSED
10/27/22,13:27:26,DOOR-OPEN
10/27/22,13:28:17,DOOR-CLOSED
10/27/22,13:31:18,DOOR-OPEN
10/27/22,13:31:43,DOOR-CLOSED
10/27/22,13:32:01,DOOR-OPEN
10/27/22,13:32:45,DOOR-CLOSED
10/27/22,13:33:25,DOOR-OPEN
10/27/22,13:33:38,DOOR-CLOSED
10/27/22,13:34:30,DOOR-OPEN
10/27/22,13:34:54,DOOR-CLOSED
10/27/22,13:36:31,DOOR-OPEN
10/27/22,13:36:41,DOOR-CLOSED
10/27/22,13:42:51,DOOR-OPEN
10/27/22,13:44:02,DOOR-CLOSED
10/28/22,2:18:15,DOOR-OPEN
10/28/22,2:18:18,DOOR-CLOSED
10/28/22,11:38:33,DOOR-OPEN
10/28/22,11:41:10,DOOR-CLOSED
10/29/22,2:01:21,DOOR-OPEN
10/29/22,2:01:24,DOOR-CLOSED
10/30/22,15:32:02,DOOR-OPEN
10/30/22,15:32:25,DOOR-CLOSED
10/31/22,13:46:56,DOOR-OPEN
10/31/22,13:47:32,DOOR-CLOSED
10/31/22,17:42:26,DOOR-OPEN
10/31/22,17:42:29,DOOR-CLOSED
11/1/22,2:01:55,DOOR-OPEN
11/1/22,2:01:59,DOOR-CLOSED
11/1/22,8:05:41,DOOR-OPEN
11/1/22,8:05:45,DOOR-CLOSED
11/1/22,13:03:59,DOOR-OPEN
11/1/22,13:04:13,DOOR-CLOSED
11/1/22,13:21:56,DOOR-OPEN
11/1/22,13:22:00,DOOR-CLOSED
11/1/22,15:44:44,DOOR-OPEN
11/1/22,15:44:47,DOOR-CLOSED
11/2/22,14:58:53,DOOR-OPEN
11/2/22,14:59:13,DOOR-CLOSED
11/2/22,15:00:03,DOOR-OPEN
11/2/22,15:00:14,DOOR-CLOSED
11/2/22,18:09:22,DOOR-OPEN
11/2/22,18:09:25,DOOR-CLOSED
11/2/22,19:13:20,DOOR-OPEN
11/2/22,19:13:30,DOOR-CLOSED
11/3/22,8:24:29,DOOR-OPEN
11/3/22,8:24:36,DOOR-CLOSED
11/3/22,11:58:58,DOOR-OPEN
11/3/22,11:59:01,DOOR-CLOSED
11/3/22,19:00:04,DOOR-OPEN
11/3/22,19:00:08,DOOR-CLOSED
11/4/22,11:35:38,DOOR-OPEN
11/4/22,11:38:29,DOOR-CLOSED
11/4/22,14:34:33,DOOR-OPEN
11/4/22,14:38:54,DOOR-CLOSED
11/4/22,18:17:28,DOOR-OPEN
11/4/22,18:17:31,DOOR-CLOSED
11/5/22,0:14:12,DOOR-OPEN
11/5/22,0:14:16,DOOR-CLOSED
11/5/22,1:16:55,DOOR-OPEN
11/5/22,1:17:00,DOOR-CLOSED
11/6/22,10:20:58,DOOR-OPEN
11/6/22,10:21:05,DOOR-CLOSED
11/6/22,10:21:16,DOOR-OPEN
11/6/22,10:21:20,DOOR-CLOSED
11/7/22,14:10:16,DOOR-OPEN
11/7/22,14:10:19,DOOR-CLOSED
11/8/22,17:24:33,DOOR-OPEN
11/8/22,17:24:37,DOOR-CLOSED
11/8/22,17:24:45,DOOR-OPEN
11/8/22,17:24:47,DOOR-CLOSED
11/8/22,17:25:00,DOOR-OPEN
11/8/22,17:25:10,DOOR-CLOSED
11/9/22,13:54:49,DOOR-OPEN
11/9/22,13:55:06,DOOR-CLOSED
11/9/22,19:34:53,DOOR-OPEN
11/9/22,19:34:56,DOOR-CLOSED
11/10/22,14:06:18,DOOR-OPEN
11/10/22,14:06:21,DOOR-CLOSED
11/10/22,15:17:09,DOOR-OPEN
11/10/22,15:17:12,DOOR-CLOSED
11/10/22,15:20:24,DOOR-OPEN
11/10/22,15:20:50,DOOR-CLOSED
11/10/22,15:21:21,DOOR-OPEN
11/10/22,15:21:44,DOOR-CLOSED
11/11/22,10:00:00,DOOR-OPEN
11/11/22,10:00:03,DOOR-CLOSED
11/11/22,13:12:28,DOOR-OPEN
11/11/22,13:12:40,DOOR-CLOSED
11/11/22,15:54:16,DOOR-OPEN
11/11/22,15:54:31,DOOR-CLOSED
11/11/22,16:17:16,DOOR-OPEN
11/11/22,16:17:19,DOOR-CLOSED
11/11/22,19:10:21,DOOR-OPEN
11/11/22,19:10:28,DOOR-CLOSED
11/11/22,20:36:39,DOOR-OPEN
11/11/22,20:36:52,DOOR-CLOSED
11/13/22,4:12:05,DOOR-OPEN
11/13/22,4:12:09,DOOR-CLOSED
11/13/22,14:56:16,DOOR-OPEN
11/13/22,14:56:22,DOOR-CLOSED
11/14/22,13:58:02,DOOR-OPEN
11/14/22,14:00:52,DOOR-CLOSED
11/14/22,21:41:05,DOOR-OPEN
11/14/22,21:42:38,DOOR-CLOSED
11/15/22,8:43:50,DOOR-OPEN
