DATE,TIME,STATE
7/7/22,15:51:35,DOOR-CLOSED
7/7/22,15:59:58,DOOR-OPEN
7/7/22,16:00:02,DOOR-CLOSED
7/7/22,20:47:30,DOOR-OPEN
7/7/22,20:47:38,DOOR-CLOSED
7/8/22,18:55:44,DOOR-OPEN
7/8/22,18:55:47,DOOR-CLOSED
7/9/22,16:48:27,DOOR-OPEN
7/9/22,16:48:30,DOOR-CLOSED
7/11/22,12:19:13,DOOR-OPEN
7/11/22,12:19:15,DOOR-CLOSED
7/11/22,14:17:05,DOOR-OPEN
7/11/22,14:17:12,DOOR-CLOSED
7/12/22,11:34:12,DOOR-OPEN
7/12/22,11:34:17,DOOR-CLOSED
7/12/22,17:16:57,DOOR-OPEN
7/12/22,17:17:39,DOOR-CLOSED
7/12/22,20:29:08,DOOR-OPEN
7/12/22,20:29:37,DOOR-CLOSED
7/13/22,9:06:56,DOOR-OPEN
7/13/22,9:06:58,DOOR-CLOSED
7/14/22,18:37:52,DOOR-OPEN
7/14/22,18:38:38,DOOR-CLOSED
7/14/22,18:41:18,DOOR-OPEN
7/14/22,18:41:21,DOOR-CLOSED
7/14/22,18:41:59,DOOR-OPEN
7/14/22,18:42:28,DOOR-CLOSED
7/15/22,8:31:35,DOOR-OPEN
7/15/22,8:31:46,DOOR-CLOSED
7/15/22,9:19:25,DOOR-OPEN
7/15/22,9:19:33,DOOR-CLOSED
7/15/22,9:19:44,DOOR-OPEN
7/15/22,9:19:53,DOOR-CLOSED
7/15/22,9:20:07,DOOR-OPEN
7/15/22,9:20:18,DOOR-CLOSED
7/15/22,9:20:32,DOOR-OPEN
7/15/22,9:20:38,DOOR-CLOSED
7/15/22,9:20:54,DOOR-OPEN
7/15/22,9:20:58,DOOR-CLOSED
7/15/22,9:21:14,DOOR-OPEN
7/15/22,9:21:16,DOOR-CLOSED
7/15/22,9:21:31,DOOR-OPEN
7/15/22,9:21:35,DOOR-CLOSED
7/15/22,9:21:57,DOOR-OPEN
7/15/22,9:21:59,DOOR-CLOSED
7/15/22,13:14:32,DOOR-OPEN
7/15/22,13:14:59,DOOR-CLOSED
7/16/22,11:16:06,DOOR-OPEN
7/16/22,11:16:09,DOOR-CLOSED
7/16/22,13:49:50,DOOR-OPEN
7/16/22,13:50:09,DOOR-CLOSED
7/16/22,15:09:01,DOOR-OPEN
7/16/22,15:09:07,DOOR-CLOSED
7/16/22,15:09:12,DOOR-OPEN
7/16/22,15:09:18,DOOR-CLOSED
7/16/22,15:11:44,DOOR-OPEN
7/16/22,15:11:58,DOOR-CLOSED
7/16/22,17:13:49,DOOR-OPEN
7/16/22,17:13:59,DOOR-CLOSED
7/16/22,17:23:14,DOOR-OPEN
7/16/22,17:23:16,DOOR-CLOSED
7/16/22,19:08:36,DOOR-OPEN
7/16/22,19:08:40,DOOR-CLOSED
7/17/22,11:09:34,DOOR-OPEN
7/17/22,11:09:47,DOOR-CLOSED
7/17/22,11:16:10,DOOR-OPEN
7/17/22,11:16:12,DOOR-CLOSED
7/17/22,15:49:24,DOOR-OPEN
7/17/22,15:49:41,DOOR-CLOSED
7/17/22,16:26:56,DOOR-OPEN
7/17/22,16:27:18,DOOR-CLOSED
7/18/22,7:51:13,DOOR-OPEN
7/18/22,7:51:17,DOOR-CLOSED
7/18/22,11:16:04,DOOR-OPEN
7/18/22,11:16:12,DOOR-CLOSED
