DATE,TIME,STATE
10/16/23,10:05:12,DOOR-CLOSED
10/16/23,18:02:32,DOOR-OPEN
10/16/23,18:02:35,DOOR-CLOSED
10/16/23,18:04:29,DOOR-OPEN
10/16/23,18:04:35,DOOR-CLOSED
10/16/23,18:31:09,DOOR-OPEN
10/16/23,18:31:22,DOOR-CLOSED
10/16/23,19:01:45,DOOR-OPEN
10/16/23,19:01:48,DOOR-CLOSED
10/17/23,7:31:16,DOOR-OPEN
10/17/23,7:31:22,DOOR-CLOSED
10/17/23,15:49:57,DOOR-OPEN
10/17/23,15:50:00,DOOR-CLOSED
10/17/23,15:50:02,DOOR-OPEN
10/17/23,15:50:11,DOOR-CLOSED
10/17/23,19:02:46,DOOR-OPEN
10/17/23,19:02:49,DOOR-CLOSED
10/18/23,3:30:59,DOOR-OPEN
10/18/23,3:31:02,DOOR-CLOSED
10/18/23,18:12:22,DOOR-OPEN
10/18/23,18:12:33,DOOR-CLOSED
10/19/23,7:09:46,DOOR-OPEN
10/19/23,7:10:00,DOOR-CLOSED
10/19/23,16:45:08,DOOR-OPEN
10/19/23,16:45:36,DOOR-CLOSED
10/23/23,12:50:18,DOOR-OPEN
10/23/23,12:50:27,DOOR-CLOSED
10/23/23,17:29:40,DOOR-OPEN
10/23/23,17:29:43,DOOR-CLOSED
10/26/23,11:09:44,DOOR-OPEN
10/26/23,11:09:47,DOOR-CLOSED
10/26/23,16:46:02,DOOR-OPEN
10/26/23,16:46:08,DOOR-CLOSED
10/26/23,19:00:47,DOOR-OPEN
10/26/23,19:00:50,DOOR-CLOSED
10/27/23,11:26:17,DOOR-OPEN
10/27/23,11:26:21,DOOR-CLOSED
10/30/23,15:43:35,DOOR-OPEN
10/30/23,15:43:38,DOOR-CLOSED
11/1/23,21:11:57,DOOR-OPEN
11/1/23,21:12:00,DOOR-CLOSED
11/10/23,12:20:05,DOOR-OPEN
11/10/23,12:20:10,DOOR-CLOSED
11/10/23,14:36:55,DOOR-OPEN
11/10/23,14:36:58,DOOR-CLOSED
11/13/23,16:44:28,DOOR-OPEN
11/13/23,16:44:50,DOOR-CLOSED
11/13/23,17:18:34,DOOR-OPEN
11/13/23,17:18:46,DOOR-CLOSED
11/13/23,20:04:22,DOOR-OPEN
11/13/23,20:04:25,DOOR-CLOSED
11/14/23,17:00:34,DOOR-OPEN
11/14/23,17:00:37,DOOR-CLOSED
11/17/23,9:12:50,DOOR-OPEN
11/17/23,9:14:01,DOOR-CLOSED
11/17/23,15:05:34,DOOR-OPEN
11/17/23,15:05:43,DOOR-CLOSED
11/17/23,15:06:48,DOOR-OPEN
11/17/23,15:06:55,DOOR-CLOSED
11/17/23,19:04:53,DOOR-OPEN
11/17/23,19:04:57,DOOR-CLOSED
11/17/23,20:21:16,DOOR-OPEN
11/17/23,20:21:25,DOOR-CLOSED
