DATE,TIME,STATE
7/1/22,0:04:17,DOOR-OPEN
7/1/22,0:04:20,DOOR-CLOSED
7/1/22,16:37:31,DOOR-OPEN
7/1/22,16:37:39,DOOR-CLOSED
7/1/22,16:37:45,DOOR-OPEN
7/1/22,16:37:47,DOOR-CLOSED
7/1/22,16:37:50,DOOR-OPEN
7/1/22,16:37:52,DOOR-CLOSED
7/1/22,17:29:03,DOOR-OPEN
7/1/22,17:29:17,DOOR-CLOSED
7/1/22,17:45:23,DOOR-OPEN
7/1/22,17:45:46,DOOR-CLOSED
7/3/22,22:03:32,DOOR-OPEN
7/3/22,22:03:35,DOOR-CLOSED
7/4/22,5:39:42,DOOR-OPEN
7/4/22,5:39:45,DOOR-CLOSED
7/5/22,22:45:02,DOOR-OPEN
7/5/22,22:45:06,DOOR-CLOSED
7/6/22,22:20:24,DOOR-OPEN
7/6/22,22:20:28,DOOR-CLOSED
7/7/22,11:14:50,DOOR-OPEN
7/7/22,11:14:52,DOOR-CLOSED
7/7/22,13:00:56,DOOR-OPEN
7/7/22,13:01:05,DOOR-CLOSED
7/7/22,13:03:27,DOOR-OPEN
7/7/22,13:03:44,DOOR-CLOSED
7/10/22,22:18:16,DOOR-OPEN
7/10/22,22:18:20,DOOR-CLOSED
7/11/22,9:38:52,DOOR-OPEN
7/11/22,9:38:55,DOOR-CLOSED
7/11/22,11:29:39,DOOR-OPEN
7/11/22,11:29:53,DOOR-CLOSED
7/12/22,11:14:08,DOOR-OPEN
7/12/22,11:14:11,DOOR-CLOSED
7/13/22,2:40:03,DOOR-OPEN
7/13/22,2:40:06,DOOR-CLOSED
7/13/22,14:18:52,DOOR-OPEN
7/13/22,14:18:58,DOOR-CLOSED
7/15/22,13:08:34,DOOR-OPEN
7/15/22,13:08:43,DOOR-CLOSED
7/16/22,14:51:03,DOOR-OPEN
7/16/22,14:51:09,DOOR-CLOSED
7/18/22,0:16:31,DOOR-OPEN
7/18/22,0:16:33,DOOR-CLOSED
7/18/22,9:41:13,DOOR-OPEN
7/18/22,9:41:18,DOOR-CLOSED
7/18/22,10:52:13,DOOR-OPEN
7/18/22,10:52:16,DOOR-CLOSED
7/18/22,13:43:12,DOOR-OPEN
7/18/22,13:43:43,DOOR-CLOSED
7/18/22,13:43:53,DOOR-OPEN
7/18/22,13:43:56,DOOR-CLOSED
7/18/22,14:54:48,DOOR-OPEN
7/18/22,14:54:53,DOOR-CLOSED
7/19/22,19:35:53,DOOR-OPEN
7/19/22,19:36:10,DOOR-CLOSED
7/20/22,14:39:34,DOOR-OPEN
7/20/22,14:39:36,DOOR-CLOSED
7/20/22,17:43:05,DOOR-OPEN
7/20/22,17:43:20,DOOR-CLOSED
7/20/22,19:09:58,DOOR-OPEN
7/20/22,19:10:16,DOOR-CLOSED
7/21/22,12:30:44,DOOR-OPEN
7/21/22,12:30:49,DOOR-CLOSED
7/21/22,17:53:13,DOOR-OPEN
7/21/22,17:53:20,DOOR-CLOSED
7/22/22,10:47:25,DOOR-OPEN
7/22/22,10:47:29,DOOR-CLOSED
7/22/22,12:05:00,DOOR-OPEN
7/22/22,12:05:02,DOOR-CLOSED
7/25/22,18:38:46,DOOR-OPEN
7/25/22,18:39:03,DOOR-CLOSED
7/25/22,18:39:08,DOOR-OPEN
7/25/22,18:39:15,DOOR-CLOSED
7/26/22,11:22:48,DOOR-OPEN
7/26/22,11:22:51,DOOR-CLOSED
7/26/22,18:01:42,DOOR-OPEN
7/26/22,18:01:45,DOOR-CLOSED
7/26/22,19:28:37,DOOR-OPEN
7/26/22,19:28:39,DOOR-CLOSED
7/26/22,22:02:14,DOOR-OPEN
7/26/22,22:02:17,DOOR-CLOSED
7/27/22,11:10:03,DOOR-OPEN
7/27/22,11:10:06,DOOR-CLOSED
7/27/22,15:26:33,DOOR-OPEN
7/27/22,15:26:38,DOOR-CLOSED
7/28/22,12:23:39,DOOR-OPEN
7/28/22,12:23:42,DOOR-CLOSED
7/29/22,8:33:29,DOOR-OPEN
7/29/22,8:33:32,DOOR-CLOSED
7/29/22,12:35:03,DOOR-OPEN
7/29/22,12:35:11,DOOR-CLOSED
7/29/22,12:35:24,DOOR-OPEN
7/29/22,12:35:30,DOOR-CLOSED
7/30/22,15:35:24,DOOR-OPEN
7/30/22,15:35:26,DOOR-CLOSED
7/31/22,22:04:24,DOOR-OPEN
7/31/22,22:04:29,DOOR-CLOSED
8/2/22,11:09:06,DOOR-OPEN
8/2/22,11:09:08,DOOR-CLOSED
8/2/22,15:51:45,DOOR-OPEN
8/2/22,15:51:48,DOOR-CLOSED
8/2/22,17:36:48,DOOR-OPEN
8/2/22,17:36:51,DOOR-CLOSED
8/2/22,19:56:18,DOOR-OPEN
8/2/22,19:56:29,DOOR-CLOSED
8/3/22,1:43:10,DOOR-OPEN
8/3/22,1:43:12,DOOR-CLOSED
8/3/22,12:27:08,DOOR-OPEN
8/3/22,12:27:10,DOOR-CLOSED
8/4/22,9:54:38,DOOR-OPEN
8/4/22,9:54:41,DOOR-CLOSED
8/4/22,14:57:41,DOOR-OPEN
8/4/22,14:57:44,DOOR-CLOSED
8/5/22,12:46:48,DOOR-OPEN
8/5/22,12:46:50,DOOR-CLOSED
8/10/22,18:46:12,DOOR-OPEN
8/10/22,18:46:15,DOOR-CLOSED
8/12/22,19:23:11,DOOR-OPEN
8/12/22,19:23:13,DOOR-CLOSED
8/16/22,16:02:05,DOOR-OPEN
8/16/22,16:02:08,DOOR-CLOSED
8/17/22,17:32:55,DOOR-OPEN
8/17/22,17:32:57,DOOR-CLOSED
8/17/22,20:31:08,DOOR-OPEN
8/17/22,20:31:11,DOOR-CLOSED
8/22/22,10:39:01,DOOR-CLOSED
8/22/22,17:39:20,DOOR-OPEN
8/22/22,17:39:23,DOOR-CLOSED
8/22/22,20:13:54,DOOR-OPEN
8/22/22,20:13:56,DOOR-CLOSED
8/23/22,11:01:56,DOOR-OPEN
8/23/22,11:02:09,DOOR-CLOSED
8/23/22,11:02:15,DOOR-OPEN
8/23/22,11:02:44,DOOR-CLOSED
8/23/22,12:29:10,DOOR-OPEN
8/23/22,12:29:24,DOOR-CLOSED
8/23/22,12:38:38,DOOR-OPEN
8/23/22,12:38:40,DOOR-CLOSED
8/23/22,12:38:42,DOOR-OPEN
8/23/22,12:38:50,DOOR-CLOSED
8/23/22,12:38:59,DOOR-OPEN
8/23/22,12:39:39,DOOR-CLOSED
8/23/22,12:39:57,DOOR-OPEN
8/23/22,12:40:46,DOOR-CLOSED
8/23/22,12:51:57,DOOR-OPEN
8/23/22,12:52:20,DOOR-CLOSED
8/23/22,15:23:41,DOOR-OPEN
8/23/22,15:23:45,DOOR-CLOSED
8/23/22,17:16:01,DOOR-OPEN
8/23/22,17:16:07,DOOR-CLOSED
8/23/22,17:58:38,DOOR-OPEN
8/23/22,17:58:57,DOOR-CLOSED
8/24/22,10:21:19,DOOR-OPEN
8/24/22,10:21:21,DOOR-CLOSED
8/24/22,10:22:03,DOOR-OPEN
8/24/22,10:22:23,DOOR-CLOSED
8/24/22,10:42:25,DOOR-OPEN
8/24/22,10:43:16,DOOR-CLOSED
9/12/22,13:17:08,DOOR-CLOSED
9/12/22,14:26:25,DOOR-CLOSED
9/12/22,22:27:47,DOOR-OPEN
9/12/22,22:27:49,DOOR-CLOSED
9/13/22,11:42:13,DOOR-OPEN
9/13/22,11:42:16,DOOR-CLOSED
9/13/22,13:30:55,DOOR-OPEN
9/13/22,13:31:06,DOOR-CLOSED
9/14/22,11:51:01,DOOR-OPEN
9/14/22,11:51:04,DOOR-CLOSED
9/14/22,14:02:56,DOOR-OPEN
9/14/22,14:02:59,DOOR-CLOSED
9/14/22,14:04:10,DOOR-OPEN
9/14/22,14:04:40,DOOR-CLOSED
9/14/22,17:20:48,DOOR-OPEN
9/14/22,17:20:52,DOOR-CLOSED
9/14/22,18:02:40,DOOR-OPEN
9/14/22,18:02:46,DOOR-CLOSED
9/15/22,12:35:33,DOOR-OPEN
9/15/22,12:35:36,DOOR-CLOSED
9/19/22,18:07:50,DOOR-CLOSED
9/20/22,9:59:52,DOOR-OPEN
9/20/22,10:00:04,DOOR-CLOSED
9/20/22,13:51:10,DOOR-OPEN
9/20/22,13:51:14,DOOR-CLOSED
9/20/22,17:54:15,DOOR-OPEN
9/20/22,17:54:18,DOOR-CLOSED
9/20/22,17:54:25,DOOR-OPEN
9/20/22,17:54:34,DOOR-CLOSED
9/21/22,13:45:42,DOOR-CLOSED
9/21/22,15:36:08,DOOR-OPEN
9/21/22,15:36:21,DOOR-CLOSED
9/21/22,15:36:30,DOOR-OPEN
9/21/22,15:37:00,DOOR-CLOSED
9/21/22,22:22:04,DOOR-OPEN
9/21/22,22:22:29,DOOR-CLOSED
9/26/22,18:11:31,DOOR-CLOSED
9/26/22,18:34:26,DOOR-CLOSED
9/26/22,23:03:19,DOOR-OPEN
9/26/22,23:03:22,DOOR-CLOSED
9/27/22,8:13:12,DOOR-OPEN
9/27/22,8:13:15,DOOR-CLOSED
9/27/22,15:09:22,DOOR-CLOSED
9/27/22,16:43:35,DOOR-OPEN
9/27/22,16:43:42,DOOR-CLOSED
9/27/22,18:34:42,DOOR-OPEN
9/27/22,18:34:46,DOOR-CLOSED
9/27/22,22:01:25,DOOR-OPEN
9/27/22,22:01:28,DOOR-CLOSED
9/28/22,14:04:03,DOOR-OPEN
9/28/22,14:04:10,DOOR-CLOSED
9/28/22,14:05:02,DOOR-OPEN
9/28/22,14:06:27,DOOR-CLOSED
9/28/22,15:44:40,DOOR-OPEN
9/28/22,15:44:43,DOOR-CLOSED
9/28/22,18:50:15,DOOR-OPEN
9/28/22,18:50:22,DOOR-CLOSED
9/28/22,18:50:26,DOOR-OPEN
9/28/22,18:50:37,DOOR-CLOSED
9/28/22,19:19:47,DOOR-OPEN
9/28/22,19:19:55,DOOR-CLOSED
9/28/22,21:10:06,DOOR-OPEN
9/28/22,21:10:19,DOOR-CLOSED
9/28/22,22:04:06,DOOR-OPEN
9/28/22,22:04:09,DOOR-CLOSED
9/29/22,7:01:02,DOOR-OPEN
9/29/22,7:01:07,DOOR-CLOSED
9/29/22,9:49:02,DOOR-OPEN
9/29/22,9:49:17,DOOR-CLOSED
9/30/22,15:23:03,DOOR-CLOSED
10/3/22,15:06:07,DOOR-OPEN
10/3/22,15:06:10,DOOR-CLOSED
10/3/22,15:07:23,DOOR-OPEN
10/3/22,15:07:26,DOOR-CLOSED
10/3/22,17:56:44,DOOR-OPEN
10/3/22,17:56:47,DOOR-CLOSED
10/3/22,18:41:25,DOOR-OPEN
10/3/22,18:41:28,DOOR-CLOSED
10/4/22,14:53:09,DOOR-CLOSED
10/4/22,20:20:14,DOOR-OPEN
10/4/22,20:20:42,DOOR-CLOSED
10/6/22,13:05:54,DOOR-OPEN
10/6/22,13:05:58,DOOR-CLOSED
10/6/22,13:06:48,DOOR-OPEN
10/6/22,13:07:00,DOOR-CLOSED
10/6/22,13:07:07,DOOR-OPEN
10/6/22,13:07:20,DOOR-CLOSED
10/6/22,13:08:46,DOOR-OPEN
10/6/22,13:09:22,DOOR-CLOSED
10/6/22,22:23:17,DOOR-OPEN
10/6/22,22:23:23,DOOR-CLOSED
10/7/22,4:29:54,DOOR-OPEN
10/7/22,4:30:00,DOOR-CLOSED
10/7/22,4:40:53,DOOR-OPEN
10/7/22,4:41:02,DOOR-CLOSED
10/7/22,19:06:19,DOOR-OPEN
10/7/22,19:06:22,DOOR-CLOSED
10/8/22,11:28:15,DOOR-OPEN
10/8/22,11:28:20,DOOR-CLOSED
10/8/22,11:31:55,DOOR-OPEN
10/8/22,11:32:10,DOOR-CLOSED
10/8/22,12:15:54,DOOR-OPEN
10/8/22,12:16:02,DOOR-CLOSED
10/10/22,5:18:24,DOOR-OPEN
10/10/22,5:18:35,DOOR-CLOSED
10/10/22,17:12:21,DOOR-OPEN
10/10/22,17:12:25,DOOR-CLOSED
10/10/22,17:12:51,DOOR-OPEN
10/10/22,17:13:18,DOOR-CLOSED
10/10/22,17:13:31,DOOR-OPEN
10/10/22,17:13:37,DOOR-CLOSED
10/10/22,17:13:47,DOOR-OPEN
10/10/22,17:13:51,DOOR-CLOSED
10/10/22,17:14:04,DOOR-OPEN
10/10/22,17:14:11,DOOR-CLOSED
10/10/22,23:58:43,DOOR-OPEN
10/10/22,23:58:49,DOOR-CLOSED
10/11/22,13:47:23,DOOR-OPEN
10/11/22,13:47:26,DOOR-CLOSED
10/11/22,17:45:16,DOOR-OPEN
10/11/22,17:45:19,DOOR-CLOSED
10/12/22,0:42:14,DOOR-OPEN
10/12/22,0:42:17,DOOR-CLOSED
10/12/22,1:32:38,DOOR-OPEN
10/12/22,1:33:02,DOOR-CLOSED
10/12/22,1:38:28,DOOR-OPEN
10/12/22,1:38:37,DOOR-CLOSED
10/12/22,15:27:10,DOOR-OPEN
10/12/22,15:27:21,DOOR-CLOSED
10/12/22,15:27:31,DOOR-OPEN
10/12/22,15:30:10,DOOR-CLOSED
10/12/22,15:30:59,DOOR-OPEN
10/12/22,15:31:14,DOOR-CLOSED
10/12/22,18:43:48,DOOR-OPEN
10/12/22,18:43:53,DOOR-CLOSED
10/12/22,23:47:18,DOOR-OPEN
10/12/22,23:47:55,DOOR-CLOSED
10/13/22,14:23:08,DOOR-OPEN
10/13/22,14:23:11,DOOR-CLOSED
10/13/22,15:20:32,DOOR-OPEN
10/13/22,15:20:36,DOOR-CLOSED
10/13/22,18:58:52,DOOR-OPEN
10/13/22,18:58:58,DOOR-CLOSED
10/13/22,20:07:26,DOOR-OPEN
10/13/22,20:07:29,DOOR-CLOSED
10/13/22,22:22:28,DOOR-OPEN
10/13/22,22:22:31,DOOR-CLOSED
10/14/22,7:28:23,DOOR-OPEN
10/14/22,7:28:46,DOOR-CLOSED
10/14/22,11:51:18,DOOR-OPEN
10/14/22,11:51:46,DOOR-CLOSED
10/14/22,12:53:41,DOOR-OPEN
10/14/22,12:54:00,DOOR-CLOSED
10/14/22,14:51:16,DOOR-OPEN
10/14/22,14:51:20,DOOR-CLOSED
10/14/22,14:51:31,DOOR-OPEN
10/14/22,14:51:38,DOOR-CLOSED
10/14/22,15:16:07,DOOR-OPEN
10/14/22,15:17:33,DOOR-CLOSED
10/14/22,17:04:12,DOOR-OPEN
10/14/22,17:04:20,DOOR-CLOSED
10/14/22,20:32:01,DOOR-OPEN
10/14/22,20:33:00,DOOR-CLOSED
10/14/22,20:35:23,DOOR-CLOSED
10/15/22,13:04:09,DOOR-OPEN
10/15/22,13:04:12,DOOR-CLOSED
10/15/22,20:28:43,DOOR-OPEN
10/15/22,20:28:48,DOOR-CLOSED
10/16/22,22:14:39,DOOR-OPEN
10/16/22,22:14:41,DOOR-CLOSED
10/17/22,11:01:46,DOOR-OPEN
10/17/22,11:01:50,DOOR-CLOSED
10/17/22,11:09:11,DOOR-OPEN
10/17/22,11:09:14,DOOR-CLOSED
10/17/22,15:01:26,DOOR-OPEN
10/17/22,15:01:29,DOOR-CLOSED
10/17/22,17:17:50,DOOR-OPEN
10/17/22,17:17:53,DOOR-CLOSED
10/17/22,21:57:18,DOOR-OPEN
10/17/22,21:57:27,DOOR-CLOSED
10/18/22,15:11:29,DOOR-CLOSED
10/18/22,15:34:25,DOOR-OPEN
10/18/22,15:34:37,DOOR-CLOSED
10/18/22,18:27:54,DOOR-OPEN
10/18/22,18:28:14,DOOR-CLOSED
10/18/22,19:15:34,DOOR-OPEN
10/18/22,19:15:40,DOOR-CLOSED
10/18/22,20:06:01,DOOR-OPEN
10/18/22,20:06:05,DOOR-CLOSED
10/18/22,20:29:31,DOOR-OPEN
10/18/22,20:29:34,DOOR-CLOSED
10/18/22,20:35:13,DOOR-OPEN
10/18/22,20:35:16,DOOR-CLOSED
10/19/22,1:59:37,DOOR-OPEN
10/19/22,1:59:40,DOOR-CLOSED
10/19/22,14:49:48,DOOR-OPEN
10/19/22,14:49:50,DOOR-CLOSED
10/19/22,17:21:30,DOOR-OPEN
10/19/22,17:21:38,DOOR-CLOSED
10/19/22,17:23:45,DOOR-OPEN
10/19/22,17:23:50,DOOR-CLOSED
10/19/22,17:24:58,DOOR-OPEN
10/19/22,17:25:20,DOOR-CLOSED
10/19/22,18:01:16,DOOR-OPEN
10/19/22,18:01:27,DOOR-CLOSED
10/19/22,21:53:54,DOOR-OPEN
10/19/22,21:54:00,DOOR-CLOSED
10/19/22,22:15:14,DOOR-OPEN
10/19/22,22:15:19,DOOR-CLOSED
10/19/22,22:15:39,DOOR-OPEN
10/19/22,22:15:44,DOOR-CLOSED
10/20/22,10:29:24,DOOR-OPEN
10/20/22,10:29:29,DOOR-CLOSED
10/20/22,13:39:20,DOOR-OPEN
10/20/22,13:39:23,DOOR-CLOSED
10/20/22,13:42:03,DOOR-OPEN
10/20/22,13:42:07,DOOR-CLOSED
10/20/22,14:41:33,DOOR-OPEN
10/20/22,14:41:44,DOOR-CLOSED
10/20/22,22:51:09,DOOR-OPEN
10/20/22,22:51:12,DOOR-CLOSED
10/21/22,14:39:56,DOOR-OPEN
10/21/22,14:40:42,DOOR-CLOSED
10/21/22,15:23:11,DOOR-OPEN
10/21/22,15:23:13,DOOR-CLOSED
10/21/22,17:15:15,DOOR-OPEN
10/21/22,17:15:23,DOOR-CLOSED
10/23/22,21:17:00,DOOR-OPEN
10/23/22,21:17:06,DOOR-CLOSED
10/24/22,9:15:03,DOOR-OPEN
10/24/22,9:15:09,DOOR-CLOSED
10/24/22,14:59:47,DOOR-OPEN
10/24/22,14:59:50,DOOR-CLOSED
10/25/22,13:46:51,DOOR-OPEN
10/25/22,13:46:54,DOOR-CLOSED
10/25/22,15:21:09,DOOR-OPEN
10/25/22,15:21:13,DOOR-CLOSED
10/25/22,15:26:37,DOOR-OPEN
10/25/22,15:26:43,DOOR-CLOSED
10/26/22,8:51:32,DOOR-OPEN
10/26/22,8:51:35,DOOR-CLOSED
10/26/22,15:28:13,DOOR-OPEN
10/26/22,15:28:59,DOOR-CLOSED
10/26/22,15:29:36,DOOR-OPEN
10/26/22,15:29:49,DOOR-CLOSED
10/26/22,15:50:38,DOOR-OPEN
10/26/22,15:50:50,DOOR-CLOSED
10/26/22,16:43:20,DOOR-OPEN
10/26/22,16:43:23,DOOR-CLOSED
10/26/22,22:17:16,DOOR-OPEN
10/26/22,22:17:19,DOOR-CLOSED
10/27/22,16:34:52,DOOR-OPEN
10/27/22,16:34:55,DOOR-CLOSED
10/27/22,17:56:41,DOOR-OPEN
10/27/22,17:56:51,DOOR-CLOSED
10/27/22,21:50:30,DOOR-OPEN
10/27/22,21:50:32,DOOR-CLOSED
10/28/22,17:39:14,DOOR-OPEN
10/28/22,17:39:17,DOOR-CLOSED
10/29/22,15:37:00,DOOR-OPEN
10/29/22,15:37:03,DOOR-CLOSED
10/30/22,22:05:36,DOOR-OPEN
10/30/22,22:05:57,DOOR-CLOSED
10/31/22,15:39:59,DOOR-OPEN
10/31/22,15:40:10,DOOR-CLOSED
11/1/22,11:20:06,DOOR-OPEN
11/1/22,11:20:09,DOOR-CLOSED
11/1/22,17:37:04,DOOR-OPEN
11/1/22,17:37:06,DOOR-CLOSED
11/1/22,20:07:17,DOOR-OPEN
11/1/22,20:07:20,DOOR-CLOSED
11/2/22,15:26:41,DOOR-OPEN
11/2/22,15:28:16,DOOR-CLOSED
11/2/22,15:28:35,DOOR-OPEN
11/2/22,15:28:53,DOOR-CLOSED
11/2/22,15:37:07,DOOR-OPEN
11/2/22,15:37:17,DOOR-CLOSED
11/2/22,15:57:06,DOOR-OPEN
11/2/22,15:57:28,DOOR-CLOSED
11/2/22,20:51:36,DOOR-OPEN
11/2/22,20:51:39,DOOR-CLOSED
11/2/22,21:20:09,DOOR-OPEN
11/2/22,21:20:15,DOOR-CLOSED
11/2/22,21:39:52,DOOR-OPEN
11/2/22,21:40:22,DOOR-CLOSED
11/3/22,4:21:18,DOOR-OPEN
11/3/22,4:21:30,DOOR-CLOSED
11/3/22,13:58:41,DOOR-OPEN
11/3/22,13:58:44,DOOR-CLOSED
11/3/22,15:20:54,DOOR-OPEN
11/3/22,15:21:01,DOOR-CLOSED
11/3/22,16:55:07,DOOR-OPEN
11/3/22,16:55:14,DOOR-CLOSED
