DATE,TIME,STATE
7/1/22,4:24:22,DOOR-CLOSED
7/1/22,6:08:43,DOOR-OPEN
7/1/22,6:08:59,DOOR-CLOSED
7/1/22,14:26:18,DOOR-OPEN
7/1/22,14:26:21,DOOR-CLOSED
7/1/22,15:40:16,DOOR-OPEN
7/1/22,15:40:19,DOOR-CLOSED
7/2/22,9:56:50,DOOR-OPEN
7/2/22,9:57:04,DOOR-CLOSED
7/2/22,14:14:48,DOOR-OPEN
7/2/22,14:14:54,DOOR-CLOSED
7/3/22,9:19:44,DOOR-OPEN
7/3/22,9:19:50,DOOR-CLOSED
7/3/22,14:16:45,DOOR-OPEN
7/3/22,14:16:57,DOOR-CLOSED
7/3/22,21:10:53,DOOR-OPEN
7/3/22,21:10:57,DOOR-CLOSED
7/5/22,15:30:53,DOOR-OPEN
7/5/22,15:30:56,DOOR-CLOSED
7/5/22,16:14:23,DOOR-OPEN
7/5/22,16:14:30,DOOR-CLOSED
7/6/22,15:46:11,DOOR-OPEN
7/6/22,15:46:18,DOOR-CLOSED
8/18/22,7:03:40,DOOR-CLOSED
8/18/22,15:12:07,DOOR-CLOSED
8/26/22,7:02:16,DOOR-CLOSED
8/26/22,7:03:55,DOOR-OPEN
8/26/22,7:03:58,DOOR-CLOSED
9/12/22,12:21:26,DOOR-CLOSED
9/12/22,16:52:14,DOOR-OPEN
9/12/22,16:52:41,DOOR-CLOSED
9/12/22,23:13:17,DOOR-OPEN
9/12/22,23:13:33,DOOR-CLOSED
9/13/22,1:40:50,DOOR-OPEN
9/13/22,1:42:03,DOOR-CLOSED
9/13/22,10:15:34,DOOR-OPEN
9/13/22,10:15:37,DOOR-CLOSED
9/13/22,10:19:16,DOOR-OPEN
9/13/22,10:19:27,DOOR-CLOSED
9/13/22,12:00:24,DOOR-OPEN
9/13/22,12:00:32,DOOR-CLOSED
9/13/22,16:14:34,DOOR-OPEN
9/13/22,16:14:39,DOOR-CLOSED
9/14/22,0:07:39,DOOR-OPEN
9/14/22,0:07:48,DOOR-CLOSED
9/14/22,1:26:00,DOOR-OPEN
9/14/22,1:27:13,DOOR-CLOSED
9/14/22,3:24:38,DOOR-OPEN
9/14/22,3:25:19,DOOR-CLOSED
9/14/22,11:58:13,DOOR-OPEN
9/14/22,11:58:22,DOOR-CLOSED
9/14/22,12:40:25,DOOR-OPEN
9/14/22,12:40:29,DOOR-CLOSED
9/14/22,15:29:43,DOOR-OPEN
9/14/22,15:30:35,DOOR-CLOSED
9/14/22,15:30:46,DOOR-OPEN
9/14/22,15:31:05,DOOR-CLOSED
9/14/22,16:41:59,DOOR-OPEN
9/14/22,16:42:10,DOOR-CLOSED
9/14/22,23:04:50,DOOR-OPEN
9/14/22,23:04:53,DOOR-CLOSED
9/15/22,1:17:36,DOOR-OPEN
9/15/22,1:17:41,DOOR-CLOSED
9/15/22,11:24:16,DOOR-OPEN
9/15/22,11:24:31,DOOR-CLOSED
9/15/22,11:39:37,DOOR-OPEN
9/15/22,11:40:04,DOOR-CLOSED
9/15/22,13:31:18,DOOR-OPEN
9/15/22,13:31:24,DOOR-CLOSED
9/15/22,16:53:00,DOOR-OPEN
9/15/22,16:53:03,DOOR-CLOSED
9/15/22,16:53:08,DOOR-OPEN
9/15/22,16:53:21,DOOR-CLOSED
9/15/22,16:55:44,DOOR-OPEN
9/15/22,16:55:47,DOOR-CLOSED
9/15/22,16:56:35,DOOR-OPEN
9/15/22,16:56:40,DOOR-CLOSED
9/15/22,16:57:08,DOOR-OPEN
9/15/22,16:57:21,DOOR-CLOSED
9/15/22,17:14:00,DOOR-OPEN
9/15/22,17:14:03,DOOR-CLOSED
9/15/22,17:31:33,DOOR-OPEN
9/15/22,17:31:36,DOOR-CLOSED
9/15/22,17:31:39,DOOR-OPEN
9/15/22,17:31:43,DOOR-CLOSED
9/16/22,3:54:44,DOOR-OPEN
9/16/22,3:55:29,DOOR-CLOSED
9/16/22,4:30:17,DOOR-OPEN
9/16/22,4:30:24,DOOR-CLOSED
9/16/22,4:37:23,DOOR-OPEN
9/16/22,4:37:26,DOOR-CLOSED
9/22/22,4:48:57,DOOR-CLOSED
9/22/22,7:04:55,DOOR-OPEN
9/22/22,7:05:03,DOOR-CLOSED
9/22/22,7:05:23,DOOR-OPEN
9/22/22,7:05:34,DOOR-CLOSED
9/22/22,7:05:57,DOOR-OPEN
9/22/22,7:06:22,DOOR-CLOSED
9/22/22,7:06:34,DOOR-OPEN
9/22/22,7:06:37,DOOR-CLOSED
9/22/22,7:33:52,DOOR-OPEN
9/22/22,7:33:55,DOOR-CLOSED
9/22/22,11:34:34,DOOR-OPEN
9/22/22,11:34:36,DOOR-CLOSED
9/22/22,12:03:24,DOOR-OPEN
9/22/22,12:03:54,DOOR-CLOSED
9/22/22,13:44:44,DOOR-OPEN
9/22/22,13:44:48,DOOR-CLOSED
9/23/22,1:01:35,DOOR-OPEN
9/23/22,1:01:39,DOOR-CLOSED
9/23/22,8:56:53,DOOR-OPEN
9/23/22,8:56:56,DOOR-CLOSED
9/23/22,23:15:38,DOOR-OPEN
9/23/22,23:15:45,DOOR-CLOSED
9/24/22,1:34:53,DOOR-OPEN
9/24/22,1:34:56,DOOR-CLOSED
9/24/22,8:56:13,DOOR-OPEN
9/24/22,8:56:18,DOOR-CLOSED
9/24/22,10:14:23,DOOR-OPEN
9/24/22,10:14:34,DOOR-CLOSED
9/25/22,5:42:50,DOOR-OPEN
9/25/22,5:42:53,DOOR-CLOSED
9/27/22,14:39:16,DOOR-CLOSED
9/29/22,6:40:27,DOOR-OPEN
9/29/22,6:40:33,DOOR-CLOSED
9/29/22,15:03:37,DOOR-OPEN
9/29/22,15:03:48,DOOR-CLOSED
9/29/22,16:34:54,DOOR-OPEN
9/29/22,16:34:57,DOOR-CLOSED
9/30/22,1:24:11,DOOR-OPEN
9/30/22,1:24:39,DOOR-CLOSED
9/30/22,3:51:19,DOOR-OPEN
9/30/22,3:51:23,DOOR-CLOSED
9/30/22,3:51:29,DOOR-OPEN
9/30/22,3:51:32,DOOR-CLOSED
9/30/22,15:36:55,DOOR-OPEN
9/30/22,15:37:01,DOOR-CLOSED
9/30/22,16:44:21,DOOR-OPEN
9/30/22,16:45:09,DOOR-CLOSED
10/3/22,7:32:25,DOOR-OPEN
10/3/22,7:32:29,DOOR-CLOSED
10/3/22,8:22:57,DOOR-OPEN
10/3/22,8:23:00,DOOR-CLOSED
10/25/22,11:33:17,DOOR-CLOSED
10/25/22,15:35:16,DOOR-OPEN
10/25/22,15:35:19,DOOR-CLOSED
12/9/22,4:05:10,DOOR-CLOSED
12/9/22,4:06:56,DOOR-OPEN
12/9/22,4:07:06,DOOR-CLOSED
12/9/22,6:38:13,DOOR-CLOSED
12/9/22,7:17:23,DOOR-OPEN
12/9/22,7:17:35,DOOR-CLOSED
12/9/22,7:45:41,DOOR-OPEN
12/9/22,7:45:44,DOOR-CLOSED
12/9/22,7:55:29,DOOR-OPEN
12/9/22,8:25:08,DOOR-OPEN
12/9/22,8:25:13,DOOR-CLOSED
12/9/22,8:43:28,DOOR-OPEN
12/9/22,8:43:41,DOOR-CLOSED
12/9/22,10:03:48,DOOR-OPEN
12/9/22,10:04:28,DOOR-CLOSED
12/9/22,10:04:33,DOOR-OPEN
12/9/22,10:04:41,DOOR-CLOSED
12/9/22,11:04:21,DOOR-OPEN
12/9/22,11:04:37,DOOR-CLOSED
12/9/22,18:15:47,DOOR-CLOSED
12/9/22,18:23:28,DOOR-CLOSED
12/10/22,8:22:55,DOOR-OPEN
12/10/22,8:22:58,DOOR-CLOSED
12/10/22,15:15:44,DOOR-OPEN
12/10/22,15:16:02,DOOR-CLOSED
12/10/22,15:20:35,DOOR-OPEN
12/10/22,15:20:44,DOOR-CLOSED
12/10/22,15:22:24,DOOR-OPEN
12/10/22,15:22:33,DOOR-CLOSED
12/10/22,17:07:06,DOOR-OPEN
12/10/22,17:07:09,DOOR-CLOSED
12/12/22,7:14:05,DOOR-OPEN
12/12/22,7:14:12,DOOR-CLOSED
12/12/22,8:14:29,DOOR-OPEN
12/12/22,8:14:32,DOOR-CLOSED
12/12/22,8:14:35,DOOR-OPEN
12/12/22,8:14:39,DOOR-CLOSED
12/12/22,9:14:08,DOOR-OPEN
12/12/22,9:14:32,DOOR-CLOSED
12/12/22,11:54:40,DOOR-OPEN
12/12/22,11:54:44,DOOR-CLOSED
12/12/22,12:01:23,DOOR-OPEN
12/12/22,12:01:31,DOOR-CLOSED
12/12/22,12:02:06,DOOR-OPEN
12/12/22,12:02:14,DOOR-CLOSED
12/12/22,12:02:19,DOOR-OPEN
12/12/22,12:02:29,DOOR-CLOSED
12/12/22,12:18:17,DOOR-OPEN
12/12/22,12:18:24,DOOR-CLOSED
12/12/22,15:34:48,DOOR-OPEN
12/12/22,15:34:51,DOOR-CLOSED
12/12/22,15:36:37,DOOR-OPEN
12/12/22,15:36:42,DOOR-CLOSED
12/13/22,7:23:23,DOOR-OPEN
12/13/22,7:23:26,DOOR-CLOSED
12/13/22,7:53:07,DOOR-OPEN
12/13/22,7:53:19,DOOR-CLOSED
12/13/22,7:59:02,DOOR-OPEN
12/13/22,7:59:06,DOOR-CLOSED
12/13/22,8:08:21,DOOR-OPEN
12/13/22,8:08:24,DOOR-CLOSED
12/13/22,9:02:03,DOOR-OPEN
12/13/22,9:02:09,DOOR-CLOSED
12/13/22,14:46:40,DOOR-OPEN
12/13/22,14:46:46,DOOR-CLOSED
12/13/22,18:20:27,DOOR-OPEN
12/13/22,18:20:30,DOOR-CLOSED
12/13/22,18:20:39,DOOR-OPEN
12/13/22,18:20:43,DOOR-CLOSED
12/13/22,18:25:03,DOOR-OPEN
12/13/22,18:25:10,DOOR-CLOSED
12/14/22,12:39:04,DOOR-OPEN
12/14/22,12:39:08,DOOR-CLOSED
12/15/22,12:25:59,DOOR-OPEN
12/15/22,12:26:02,DOOR-CLOSED
12/16/22,8:46:32,DOOR-OPEN
12/16/22,8:46:35,DOOR-CLOSED
12/16/22,8:46:44,DOOR-OPEN
12/16/22,8:46:48,DOOR-CLOSED
12/16/22,9:13:38,DOOR-OPEN
12/16/22,9:13:42,DOOR-CLOSED
12/16/22,10:29:13,DOOR-OPEN
12/16/22,10:29:16,DOOR-CLOSED
12/16/22,11:52:41,DOOR-OPEN
12/16/22,11:52:44,DOOR-CLOSED
12/16/22,12:42:35,DOOR-OPEN
12/16/22,12:43:27,DOOR-CLOSED
12/16/22,13:13:36,DOOR-OPEN
12/16/22,13:13:52,DOOR-CLOSED
12/16/22,16:39:42,DOOR-OPEN
12/16/22,16:39:45,DOOR-CLOSED
12/16/22,16:39:58,DOOR-OPEN
12/16/22,16:40:01,DOOR-CLOSED
12/16/22,23:09:05,DOOR-OPEN
12/16/22,23:09:15,DOOR-CLOSED
12/16/22,23:27:23,DOOR-OPEN
12/16/22,23:27:46,DOOR-CLOSED
12/17/22,9:42:08,DOOR-OPEN
12/17/22,9:42:25,DOOR-CLOSED
12/17/22,10:55:55,DOOR-OPEN
12/17/22,10:56:59,DOOR-CLOSED
12/17/22,12:33:50,DOOR-OPEN
12/17/22,12:34:04,DOOR-CLOSED
12/17/22,14:12:44,DOOR-OPEN
12/17/22,14:12:49,DOOR-CLOSED
12/17/22,14:27:14,DOOR-OPEN
12/17/22,14:27:27,DOOR-CLOSED
12/17/22,15:27:32,DOOR-OPEN
12/17/22,15:27:35,DOOR-CLOSED
12/18/22,23:12:33,DOOR-OPEN
12/18/22,23:12:44,DOOR-CLOSED
12/18/22,23:13:10,DOOR-OPEN
12/18/22,23:13:18,DOOR-CLOSED
12/19/22,7:42:27,DOOR-OPEN
12/19/22,7:42:30,DOOR-CLOSED
12/19/22,8:18:02,DOOR-OPEN
12/19/22,8:18:07,DOOR-CLOSED
12/19/22,13:06:43,DOOR-OPEN
12/19/22,13:06:47,DOOR-CLOSED
12/19/22,17:11:03,DOOR-OPEN
12/19/22,17:11:22,DOOR-CLOSED
12/20/22,6:41:14,DOOR-OPEN
12/20/22,6:41:24,DOOR-CLOSED
12/20/22,6:41:29,DOOR-OPEN
12/20/22,6:41:52,DOOR-CLOSED
12/20/22,7:35:45,DOOR-OPEN
12/20/22,7:35:51,DOOR-CLOSED
12/20/22,7:37:19,DOOR-OPEN
12/20/22,7:37:27,DOOR-CLOSED
12/20/22,8:18:29,DOOR-OPEN
12/20/22,8:18:33,DOOR-CLOSED
12/20/22,8:26:37,DOOR-OPEN
12/20/22,8:26:48,DOOR-CLOSED
12/20/22,9:23:00,DOOR-OPEN
12/20/22,9:23:07,DOOR-CLOSED
12/20/22,9:52:25,DOOR-OPEN
12/20/22,9:52:28,DOOR-CLOSED
12/20/22,12:24:17,DOOR-OPEN
12/20/22,12:24:21,DOOR-CLOSED
12/20/22,14:24:11,DOOR-OPEN
12/20/22,14:24:14,DOOR-CLOSED
12/20/22,16:16:28,DOOR-OPEN
12/20/22,16:16:34,DOOR-CLOSED
12/20/22,22:40:33,DOOR-OPEN
12/20/22,22:40:38,DOOR-CLOSED
1/5/23,9:10:01,DOOR-CLOSED
1/5/23,12:12:51,DOOR-OPEN
1/5/23,12:12:57,DOOR-CLOSED
1/5/23,13:11:58,DOOR-OPEN
1/5/23,13:12:01,DOOR-CLOSED
1/5/23,16:07:47,DOOR-OPEN
1/5/23,16:07:50,DOOR-CLOSED
1/5/23,16:07:58,DOOR-OPEN
1/5/23,16:08:01,DOOR-CLOSED
1/5/23,19:00:41,DOOR-OPEN
1/5/23,19:00:47,DOOR-CLOSED
1/6/23,8:19:40,DOOR-OPEN
1/6/23,8:19:43,DOOR-CLOSED
1/6/23,10:07:19,DOOR-OPEN
1/6/23,10:07:22,DOOR-CLOSED
1/6/23,12:30:13,DOOR-OPEN
1/6/23,12:30:16,DOOR-CLOSED
1/6/23,13:34:49,DOOR-OPEN
1/6/23,13:34:52,DOOR-CLOSED
1/6/23,18:50:21,DOOR-OPEN
1/6/23,18:50:24,DOOR-CLOSED
1/6/23,23:25:38,DOOR-OPEN
1/6/23,23:25:45,DOOR-CLOSED
1/8/23,11:20:01,DOOR-OPEN
1/8/23,11:20:04,DOOR-CLOSED
1/8/23,23:07:05,DOOR-OPEN
1/8/23,23:07:11,DOOR-CLOSED
1/9/23,7:14:21,DOOR-OPEN
1/9/23,7:14:24,DOOR-CLOSED
1/9/23,7:38:47,DOOR-OPEN
1/9/23,7:38:50,DOOR-CLOSED
1/9/23,8:06:20,DOOR-OPEN
1/9/23,8:06:25,DOOR-CLOSED
1/9/23,8:49:59,DOOR-OPEN
1/9/23,8:50:06,DOOR-CLOSED
1/9/23,12:41:12,DOOR-OPEN
1/9/23,12:41:15,DOOR-CLOSED
1/9/23,15:33:59,DOOR-OPEN
1/9/23,15:34:08,DOOR-CLOSED
1/9/23,19:41:30,DOOR-OPEN
1/9/23,19:41:35,DOOR-CLOSED
1/9/23,19:42:34,DOOR-OPEN
1/9/23,19:42:53,DOOR-CLOSED
1/10/23,12:19:01,DOOR-OPEN
1/10/23,12:19:04,DOOR-CLOSED
1/10/23,14:21:52,DOOR-OPEN
1/10/23,14:22:07,DOOR-CLOSED
1/11/23,6:35:51,DOOR-OPEN
1/11/23,6:36:28,DOOR-CLOSED
1/11/23,6:42:58,DOOR-OPEN
1/11/23,6:43:25,DOOR-CLOSED
1/11/23,6:43:37,DOOR-OPEN
1/11/23,6:43:49,DOOR-CLOSED
1/11/23,6:43:53,DOOR-OPEN
1/11/23,6:43:57,DOOR-CLOSED
1/11/23,8:15:21,DOOR-OPEN
1/11/23,8:15:26,DOOR-CLOSED
1/11/23,9:50:20,DOOR-OPEN
1/11/23,9:50:23,DOOR-CLOSED
1/11/23,10:00:49,DOOR-OPEN
1/11/23,10:01:05,DOOR-CLOSED
1/11/23,10:17:26,DOOR-OPEN
1/11/23,10:17:29,DOOR-CLOSED
1/11/23,10:21:44,DOOR-OPEN
1/11/23,10:22:07,DOOR-CLOSED
1/11/23,14:20:03,DOOR-OPEN
1/11/23,14:20:06,DOOR-CLOSED
1/11/23,17:18:31,DOOR-OPEN
1/11/23,17:18:34,DOOR-CLOSED
1/11/23,18:33:59,DOOR-OPEN
1/11/23,18:34:01,DOOR-CLOSED
