DATE,TIME,STATE
9/12/22,12:51:47,DOOR-CLOSED
9/12/22,12:53:25,DOOR-CLOSED
9/12/22,12:56:09,DOOR-OPEN
9/12/22,13:52:38,DOOR-CLOSED
9/12/22,17:17:29,DOOR-OPEN
9/12/22,17:17:33,DOOR-CLOSED
9/12/22,17:36:58,DOOR-OPEN
9/12/22,17:37:02,DOOR-CLOSED
9/12/22,20:20:32,DOOR-OPEN
9/12/22,20:20:39,DOOR-CLOSED
9/12/22,21:40:10,DOOR-OPEN
9/12/22,21:40:13,DOOR-CLOSED
9/12/22,21:40:16,DOOR-OPEN
9/12/22,21:40:19,DOOR-CLOSED
9/12/22,21:48:38,DOOR-OPEN
9/12/22,21:48:59,DOOR-CLOSED
9/12/22,21:49:06,DOOR-OPEN
9/12/22,21:49:38,DOOR-CLOSED
9/13/22,4:23:54,DOOR-OPEN
9/13/22,4:24:01,DOOR-CLOSED
9/13/22,13:55:54,DOOR-OPEN
9/13/22,13:56:01,DOOR-CLOSED
9/13/22,13:56:33,DOOR-OPEN
9/13/22,13:56:37,DOOR-CLOSED
9/13/22,15:22:33,DOOR-OPEN
9/13/22,15:22:47,DOOR-CLOSED
9/13/22,16:54:28,DOOR-OPEN
9/13/22,16:54:32,DOOR-CLOSED
9/14/22,17:22:10,DOOR-OPEN
9/14/22,17:22:17,DOOR-CLOSED
9/15/22,12:26:58,DOOR-OPEN
9/15/22,12:27:01,DOOR-CLOSED
9/15/22,13:31:59,DOOR-OPEN
9/15/22,13:32:02,DOOR-CLOSED
9/15/22,14:58:53,DOOR-OPEN
9/15/22,14:59:05,DOOR-CLOSED
9/16/22,16:40:27,DOOR-OPEN
9/16/22,16:40:31,DOOR-CLOSED
9/17/22,0:10:18,DOOR-OPEN
9/17/22,0:10:26,DOOR-CLOSED
9/18/22,22:36:56,DOOR-OPEN
9/18/22,22:37:00,DOOR-CLOSED
9/19/22,17:15:50,DOOR-OPEN
9/19/22,17:16:00,DOOR-CLOSED
9/19/22,21:04:29,DOOR-OPEN
9/19/22,21:04:35,DOOR-CLOSED
9/19/22,21:05:23,DOOR-OPEN
9/19/22,21:05:36,DOOR-CLOSED
9/19/22,21:06:03,DOOR-OPEN
9/19/22,21:06:08,DOOR-CLOSED
9/20/22,1:27:27,DOOR-OPEN
9/20/22,1:27:52,DOOR-CLOSED
9/20/22,9:09:59,DOOR-OPEN
9/20/22,9:10:02,DOOR-CLOSED
9/20/22,9:54:39,DOOR-OPEN
9/20/22,9:54:47,DOOR-CLOSED
9/20/22,12:27:07,DOOR-CLOSED
9/20/22,13:30:50,DOOR-OPEN
9/20/22,13:30:54,DOOR-CLOSED
9/20/22,18:01:36,DOOR-OPEN
9/20/22,18:01:41,DOOR-CLOSED
9/21/22,9:47:58,DOOR-OPEN
9/21/22,9:48:02,DOOR-CLOSED
9/21/22,13:31:05,DOOR-OPEN
9/21/22,13:34:40,DOOR-CLOSED
9/21/22,14:21:01,DOOR-OPEN
9/21/22,14:21:04,DOOR-CLOSED
9/21/22,15:22:36,DOOR-OPEN
9/21/22,15:22:48,DOOR-CLOSED
9/21/22,15:28:20,DOOR-OPEN
9/21/22,15:28:23,DOOR-CLOSED
9/21/22,18:27:32,DOOR-OPEN
9/21/22,18:27:35,DOOR-CLOSED
9/21/22,20:44:34,DOOR-OPEN
9/21/22,20:44:40,DOOR-CLOSED
9/22/22,13:46:01,DOOR-OPEN
9/22/22,13:46:04,DOOR-CLOSED
9/23/22,4:59:43,DOOR-OPEN
9/23/22,4:59:51,DOOR-CLOSED
9/23/22,13:33:43,DOOR-OPEN
9/23/22,13:33:51,DOOR-CLOSED
9/23/22,14:39:51,DOOR-OPEN
9/23/22,14:43:18,DOOR-CLOSED
9/24/22,3:45:59,DOOR-OPEN
9/24/22,3:46:04,DOOR-CLOSED
9/26/22,17:04:02,DOOR-OPEN
9/26/22,17:04:12,DOOR-CLOSED
9/26/22,17:22:06,DOOR-OPEN
