DATE,TIME,STATE
9/12/22,13:23:07,DOOR-CLOSED
9/12/22,14:20:45,DOOR-CLOSED
9/14/22,13:56:59,DOOR-OPEN
9/14/22,13:57:07,DOOR-CLOSED
9/14/22,13:59:15,DOOR-OPEN
9/14/22,13:59:56,DOOR-CLOSED
9/14/22,14:31:04,DOOR-OPEN
9/14/22,14:31:08,DOOR-CLOSED
9/14/22,14:31:10,DOOR-OPEN
9/14/22,14:31:13,DOOR-CLOSED
9/14/22,14:31:15,DOOR-OPEN
9/14/22,14:31:26,DOOR-CLOSED
9/14/22,14:31:29,DOOR-OPEN
9/14/22,14:31:33,DOOR-CLOSED
9/14/22,17:26:48,DOOR-OPEN
9/14/22,17:26:57,DOOR-CLOSED
9/15/22,12:37:11,DOOR-OPEN
9/15/22,12:37:15,DOOR-CLOSED
9/15/22,13:18:15,DOOR-OPEN
9/15/22,13:18:19,DOOR-CLOSED
9/16/22,9:14:25,DOOR-OPEN
9/16/22,9:14:30,DOOR-CLOSED
9/16/22,9:15:13,DOOR-OPEN
9/16/22,9:15:27,DOOR-CLOSED
9/16/22,10:29:38,DOOR-OPEN
9/16/22,10:29:47,DOOR-CLOSED
9/16/22,18:16:29,DOOR-OPEN
9/16/22,18:17:19,DOOR-CLOSED
9/16/22,21:31:01,DOOR-OPEN
9/16/22,21:31:03,DOOR-CLOSED
9/17/22,8:18:55,DOOR-OPEN
9/17/22,8:19:03,DOOR-CLOSED
1/26/23,14:59:40,DOOR-CLOSED
1/26/23,14:59:59,DOOR-OPEN
1/26/23,15:01:31,DOOR-CLOSED
1/27/23,10:55:47,DOOR-OPEN
1/27/23,10:55:57,DOOR-CLOSED
1/27/23,15:42:04,DOOR-OPEN
1/27/23,15:42:34,DOOR-CLOSED
1/27/23,15:51:46,DOOR-OPEN
1/27/23,15:51:56,DOOR-CLOSED
1/28/23,11:24:42,DOOR-OPEN
1/28/23,11:24:52,DOOR-CLOSED
1/29/23,17:28:21,DOOR-OPEN
1/29/23,17:28:27,DOOR-CLOSED
1/30/23,10:46:45,DOOR-OPEN
1/30/23,10:47:00,DOOR-CLOSED
1/30/23,10:47:09,DOOR-OPEN
1/30/23,10:47:16,DOOR-CLOSED
1/30/23,10:47:40,DOOR-OPEN
1/30/23,10:51:12,DOOR-CLOSED
1/30/23,10:51:24,DOOR-OPEN
1/30/23,10:52:19,DOOR-CLOSED
1/30/23,10:53:08,DOOR-OPEN
1/30/23,10:53:11,DOOR-CLOSED
1/30/23,10:53:18,DOOR-OPEN
1/30/23,10:53:20,DOOR-CLOSED
1/30/23,11:02:08,DOOR-OPEN
1/30/23,11:05:57,DOOR-CLOSED
1/30/23,21:45:38,DOOR-OPEN
1/30/23,21:45:50,DOOR-CLOSED
1/31/23,14:09:19,DOOR-OPEN
1/31/23,14:09:21,DOOR-CLOSED
2/1/23,0:19:00,DOOR-OPEN
2/1/23,0:19:05,DOOR-CLOSED
2/1/23,10:09:32,DOOR-OPEN
2/1/23,10:09:34,DOOR-CLOSED
2/1/23,12:15:24,DOOR-OPEN
2/1/23,12:15:28,DOOR-CLOSED
2/1/23,12:15:36,DOOR-OPEN
2/1/23,12:16:29,DOOR-CLOSED
2/1/23,12:16:32,DOOR-OPEN
2/1/23,12:16:40,DOOR-CLOSED
2/1/23,13:10:34,DOOR-OPEN
2/1/23,13:10:55,DOOR-CLOSED
2/1/23,16:00:56,DOOR-OPEN
2/1/23,16:01:00,DOOR-CLOSED
2/1/23,16:01:06,DOOR-OPEN
2/1/23,16:01:18,DOOR-CLOSED
2/1/23,16:05:15,DOOR-OPEN
2/1/23,16:05:17,DOOR-CLOSED
2/1/23,22:01:05,DOOR-OPEN
2/1/23,22:01:08,DOOR-CLOSED
2/2/23,8:50:31,DOOR-OPEN
